source,target,paper_title
Kathleen Reed,Douglas Phanstiel,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Kathleen Reed,Michael I Love,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Kathleen Reed,Didong Li,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Douglas Phanstiel,Michael I Love,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Douglas Phanstiel,Didong Li,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Michael I Love,Didong Li,Gaussian Processes for Time Series with Lead-Lag Effects with applications to biology data
Didong Li,David B Dunson,Geodesic distance estimation with spherelets
Sunny Cui,Elizabeth C Yoo,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Sunny Cui,Didong Li,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Sunny Cui,Krzysztof Laudanski,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Sunny Cui,Barbara E Engelhardt,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Elizabeth C Yoo,Didong Li,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Elizabeth C Yoo,Krzysztof Laudanski,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Elizabeth C Yoo,Barbara E Engelhardt,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Didong Li,Krzysztof Laudanski,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Didong Li,Barbara E Engelhardt,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Krzysztof Laudanski,Barbara E Engelhardt,Hierarchical Gaussian processes and mixtures of experts to model Covid-19 patient trajectories
Didong Li,Wenpin Tang,Inference for Gaussian processes with Matérn covariogram on compact Riemannian manifolds
Didong Li,Sudipto Banerjee,Inference for Gaussian processes with Matérn covariogram on compact Riemannian manifolds
Wenpin Tang,Sudipto Banerjee,Inference for Gaussian processes with Matérn covariogram on compact Riemannian manifolds
Jiawen Chen,Caiwei Xiong,Investigating spatial dynamics in spatial omics data with StarTrail
Jiawen Chen,Quan Sun,Investigating spatial dynamics in spatial omics data with StarTrail
Jiawen Chen,Geoffery W Wang,Investigating spatial dynamics in spatial omics data with StarTrail
Jiawen Chen,Gaorav P Gupta,Investigating spatial dynamics in spatial omics data with StarTrail
Jiawen Chen,Aritra Halder,Investigating spatial dynamics in spatial omics data with StarTrail
Jiawen Chen,Yun Li,Investigating spatial dynamics in spatial omics data with StarTrail
Jiawen Chen,Didong Li,Investigating spatial dynamics in spatial omics data with StarTrail
Caiwei Xiong,Quan Sun,Investigating spatial dynamics in spatial omics data with StarTrail
Caiwei Xiong,Geoffery W Wang,Investigating spatial dynamics in spatial omics data with StarTrail
Caiwei Xiong,Gaorav P Gupta,Investigating spatial dynamics in spatial omics data with StarTrail
Caiwei Xiong,Aritra Halder,Investigating spatial dynamics in spatial omics data with StarTrail
Caiwei Xiong,Yun Li,Investigating spatial dynamics in spatial omics data with StarTrail
Caiwei Xiong,Didong Li,Investigating spatial dynamics in spatial omics data with StarTrail
Quan Sun,Geoffery W Wang,Investigating spatial dynamics in spatial omics data with StarTrail
Quan Sun,Gaorav P Gupta,Investigating spatial dynamics in spatial omics data with StarTrail
Quan Sun,Aritra Halder,Investigating spatial dynamics in spatial omics data with StarTrail
Quan Sun,Yun Li,Investigating spatial dynamics in spatial omics data with StarTrail
Quan Sun,Didong Li,Investigating spatial dynamics in spatial omics data with StarTrail
Geoffery W Wang,Gaorav P Gupta,Investigating spatial dynamics in spatial omics data with StarTrail
Geoffery W Wang,Aritra Halder,Investigating spatial dynamics in spatial omics data with StarTrail
Geoffery W Wang,Yun Li,Investigating spatial dynamics in spatial omics data with StarTrail
Geoffery W Wang,Didong Li,Investigating spatial dynamics in spatial omics data with StarTrail
Gaorav P Gupta,Aritra Halder,Investigating spatial dynamics in spatial omics data with StarTrail
Gaorav P Gupta,Yun Li,Investigating spatial dynamics in spatial omics data with StarTrail
Gaorav P Gupta,Didong Li,Investigating spatial dynamics in spatial omics data with StarTrail
Aritra Halder,Yun Li,Investigating spatial dynamics in spatial omics data with StarTrail
Aritra Halder,Didong Li,Investigating spatial dynamics in spatial omics data with StarTrail
Yun Li,Didong Li,Investigating spatial dynamics in spatial omics data with StarTrail
Zhikun Luo,Huafei Sun,Jacobi fields on the manifold of positive definite matrices
Zhikun Luo,Didong Li,Jacobi fields on the manifold of positive definite matrices
Huafei Sun,Didong Li,Jacobi fields on the manifold of positive definite matrices
Aishwarya Mandyam,Didong Li,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Aishwarya Mandyam,Andrew Jones,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Aishwarya Mandyam,Diana Cai,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Aishwarya Mandyam,Barbara E Engelhardt,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Didong Li,Andrew Jones,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Didong Li,Diana Cai,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Didong Li,Barbara E Engelhardt,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Andrew Jones,Diana Cai,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Andrew Jones,Barbara E Engelhardt,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Diana Cai,Barbara E Engelhardt,KD-BIRL: Kernel Density Bayesian Inverse Reinforcement Learning
Yun Jin Park,Didong Li,Lower Ricci Curvature for Efficient Community Detection
Didong Li,Andrew Jones,Multi-group Gaussian processes
Didong Li,Sudipto Banerjee,Multi-group Gaussian processes
Didong Li,Barbara E Engelhardt,Multi-group Gaussian processes
Andrew Jones,Sudipto Banerjee,Multi-group Gaussian processes
Andrew Jones,Barbara E Engelhardt,Multi-group Gaussian processes
Sudipto Banerjee,Barbara E Engelhardt,Multi-group Gaussian processes
Jiawen Chen,Wancen Mu,On the Identifiability and Interpretability of Gaussian Process Models
Jiawen Chen,Yun Li,On the Identifiability and Interpretability of Gaussian Process Models
Jiawen Chen,Didong Li,On the Identifiability and Interpretability of Gaussian Process Models
Wancen Mu,Yun Li,On the Identifiability and Interpretability of Gaussian Process Models
Wancen Mu,Didong Li,On the Identifiability and Interpretability of Gaussian Process Models
Yun Li,Didong Li,On the Identifiability and Interpretability of Gaussian Process Models
Andrew Jones,Diana Cai,Optimizing the design of spatial genomic studies
Andrew Jones,Didong Li,Optimizing the design of spatial genomic studies
Andrew Jones,Barbara E Engelhardt,Optimizing the design of spatial genomic studies
Diana Cai,Didong Li,Optimizing the design of spatial genomic studies
Diana Cai,Barbara E Engelhardt,Optimizing the design of spatial genomic studies
Didong Li,Barbara E Engelhardt,Optimizing the design of spatial genomic studies
Debolina Paul,Saptarshi Chakraborty,Principal Ellipsoid Analysis (PEA): Efficient non-linear dimension reduction & clustering
Debolina Paul,Didong Li,Principal Ellipsoid Analysis (PEA): Efficient non-linear dimension reduction & clustering
Debolina Paul,David Dunson,Principal Ellipsoid Analysis (PEA): Efficient non-linear dimension reduction & clustering
Saptarshi Chakraborty,Didong Li,Principal Ellipsoid Analysis (PEA): Efficient non-linear dimension reduction & clustering
Saptarshi Chakraborty,David Dunson,Principal Ellipsoid Analysis (PEA): Efficient non-linear dimension reduction & clustering
Didong Li,David Dunson,Principal Ellipsoid Analysis (PEA): Efficient non-linear dimension reduction & clustering
Didong Li,Andrew Jones,Probabilistic contrastive dimension reduction for case-control study data
Didong Li,Barbara Engelhardt,Probabilistic contrastive dimension reduction for case-control study data
Andrew Jones,Barbara Engelhardt,Probabilistic contrastive dimension reduction for case-control study data
Didong Li,Sayan Mukherjee,Random Lie Brackets that Induce Torsion: A Model for Noisy Vector Fields
Jiawen Chen,Muqing Zhou,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Jiawen Chen,Wenrong Wu,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Jiawen Chen,Jinwei Zhang,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Jiawen Chen,Yun Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Jiawen Chen,Didong Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Muqing Zhou,Wenrong Wu,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Muqing Zhou,Jinwei Zhang,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Muqing Zhou,Yun Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Muqing Zhou,Didong Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Wenrong Wu,Jinwei Zhang,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Wenrong Wu,Yun Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Wenrong Wu,Didong Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Jinwei Zhang,Yun Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Jinwei Zhang,Didong Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Yun Li,Didong Li,STimage-1K4M: A histopathology image-gene expression dataset for spatial transcriptomics
Hong Niu,Melissa Troester,Spatial Clustering for Carolina Breast Cancer Study
Hong Niu,Didong Li,Spatial Clustering for Carolina Breast Cancer Study
Melissa Troester,Didong Li,Spatial Clustering for Carolina Breast Cancer Study
Olivia Wen,Samuel C Wolff,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Olivia Wen,Wayne Stallaert,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Olivia Wen,Didong Li,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Olivia Wen,Jeremy E Purvis,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Olivia Wen,Tarek M Zikry,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Samuel C Wolff,Wayne Stallaert,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Samuel C Wolff,Didong Li,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Samuel C Wolff,Jeremy E Purvis,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Samuel C Wolff,Tarek M Zikry,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Wayne Stallaert,Didong Li,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Wayne Stallaert,Jeremy E Purvis,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Wayne Stallaert,Tarek M Zikry,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Didong Li,Jeremy E Purvis,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Didong Li,Tarek M Zikry,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Jeremy E Purvis,Tarek M Zikry,Spherical Manifolds Capture Drug-Induced Changes in Tumor Cell Cycle Behavior
Hengrui Luo,Jeremy E Purvis,Spherical rotation dimension reduction with geometric loss functions
Hengrui Luo,Didong Li,Spherical rotation dimension reduction with geometric loss functions
Jeremy E Purvis,Didong Li,Spherical rotation dimension reduction with geometric loss functions
Ameer Qaqish,Didong Li,Title Not Found
Didong Li,Phuc Nguyen,Tree representations of brain structural connectivity via persistent homology
Didong Li,Zhengwu Zhang,Tree representations of brain structural connectivity via persistent homology
Didong Li,David Dunson,Tree representations of brain structural connectivity via persistent homology
Phuc Nguyen,Zhengwu Zhang,Tree representations of brain structural connectivity via persistent homology
Phuc Nguyen,David Dunson,Tree representations of brain structural connectivity via persistent homology
Zhengwu Zhang,David Dunson,Tree representations of brain structural connectivity via persistent homology
